Data,Tou,Hou,Lw
9/9/22 0:00,0,0,0
9/9/22 0:10,0,0,0
9/9/22 0:20,0,0,0
9/9/22 0:30,0,0,0
9/9/22 0:40,0,0,0
9/9/22 0:50,0,0,0
9/9/22 1:00,0,0,0
9/9/22 1:10,0,0,0
9/9/22 1:20,0,0,0
9/9/22 1:30,0,0,0
9/9/22 1:40,0,0,0
9/9/22 1:50,0,0,0
9/9/22 2:00,0,0,0
9/9/22 2:10,0,0,0
9/9/22 2:20,0,0,0
9/9/22 2:30,0,0,0
9/9/22 2:40,0,0,0
9/9/22 2:50,0,0,0
9/9/22 3:00,0,0,0
9/9/22 3:10,0,0,0
9/9/22 3:20,0,0,0
9/9/22 3:30,0,0,0
9/9/22 3:40,0,0,0
9/9/22 3:50,0,0,0
9/9/22 4:00,0,0,0
9/9/22 4:10,0,0,0
9/9/22 4:20,0,0,0
9/9/22 4:30,0,0,0
9/9/22 4:40,0,0,0
9/9/22 4:50,0,0,0
9/9/22 5:00,0,0,0
9/9/22 5:10,0,0,0
9/9/22 5:20,0,0,0
9/9/22 5:30,0,0,0
9/9/22 5:40,0,0,0
9/9/22 5:50,0,0,0
9/9/22 6:00,0,0,0
9/9/22 6:10,0,0,0
9/9/22 6:20,0,0,0
9/9/22 6:30,0,0,0
9/9/22 6:40,0,0,0
9/9/22 6:50,0,0,0
9/9/22 7:00,0,0,0
9/9/22 7:10,0,0,0
9/9/22 7:20,0,0,0
9/9/22 7:30,0,0,0
9/9/22 7:40,0,0,0
9/9/22 7:50,0,0,0
9/9/22 8:00,28.97,78.04,7.92
9/9/22 8:10,29.17,77.41,7.91
9/9/22 8:20,29.24,77.19,7.95
9/9/22 8:30,29.23,76.09,7.96
9/9/22 8:40,29.21,76.33,7.99
9/9/22 8:50,29.88,74.38,7.74
9/9/22 9:00,29.68,74.82,7.95
9/9/22 9:10,29.8,73.79,7.85
9/9/22 9:20,29.83,73.61,7.96
9/9/22 9:30,29.73,73.38,6.86
9/9/22 9:40,30.12,72.07,7.97
9/9/22 9:50,30.29,71.06,7.94
9/9/22 10:00,30.83,69.7,8.01
9/9/22 10:10,31.08,69.09,7.83
9/9/22 10:20,31.52,68.59,7.04
9/9/22 10:30,31.64,66.58,7.73
9/9/22 10:40,31.38,66.65,7.79
9/9/22 10:50,31.53,65.14,7.73
9/9/22 11:00,32.24,63.51,7.61
9/9/22 11:10,32.59,61.72,7.6
9/9/22 11:20,32.68,59.84,7.63
9/9/22 11:30,32.63,59.15,7.56
9/9/22 11:40,33.12,58.28,7.58
9/9/22 11:50,33.57,57.13,7.55
9/9/22 12:00,33.96,55.64,6.55
9/9/22 12:10,33.65,53.74,7.42
9/9/22 12:20,33.68,53.43,7.38
9/9/22 12:30,34.27,53.41,7.38
9/9/22 12:40,34.53,54.47,7.28
9/9/22 12:50,34.27,53.84,7.32
9/9/22 13:00,34.38,54.08,7.34
9/9/22 13:10,33.96,54.68,7.43
9/9/22 13:20,34.49,52.66,7.27
9/9/22 13:30,34.26,50.42,7.28
9/9/22 13:40,34.36,50.2,7.23
9/9/22 13:50,34.2,51.07,6.51
9/9/22 14:00,33.82,52.8,7.16
9/9/22 14:10,33.82,53.53,7.37
9/9/22 14:20,33.67,53.02,7.22
9/9/22 14:30,33.38,53.64,7.27
9/9/22 14:40,33.36,54.39,7.44
9/9/22 14:50,33.13,55.24,6.32
9/9/22 15:00,32.83,57.29,7.4
9/9/22 15:10,32.83,56.98,7.41
9/9/22 15:20,33.12,56.06,7.69
9/9/22 15:30,33.16,55.08,6.5
9/9/22 15:40,33.39,54.45,7.42
9/9/22 15:50,33.29,54.6,7.47
9/9/22 16:00,33,55.03,7.42
9/9/22 16:10,32.93,54.8,7.28
9/9/22 16:20,32.75,55.99,7.25
9/9/22 16:30,32.55,56.5,7.2
9/9/22 16:40,32.41,56.54,7.28
9/9/22 16:50,32.45,56.17,7.29
9/9/22 17:00,32.44,56.61,7.28
9/9/22 17:10,31.48,59.8,6.45
9/9/22 17:20,30.72,60.81,6.72
9/9/22 17:30,30.16,65.17,7.08
9/9/22 17:40,29.91,67.94,7.12
9/9/22 17:50,30.24,62.55,7.02
9/9/22 18:00,29.95,64.72,6.18
9/9/22 18:10,29.05,70.44,6.36
9/9/22 18:20,28.69,70.41,6.27
9/9/22 18:30,28.52,71.37,5.43
9/9/22 18:40,28.12,71.79,6
